"","speech"
"1","asked Minister of Defence how many persons have been trained in a skill or craft whilst undergoing National Service and whether his Ministry has any plan to inject more vocational training during the period of National Service and if it will consider the use of facilities provided by the Vocational and Industrial Training Board, the Economic Development Board and other government training centres."
"2","asked Minister for National Development whether there are plans to develop (i) the areas around Alexandra Terrace, Alexandra Lane, Pepys Road and Jalan Pasir Ria along Pasir Panjang Road; and (ii) Pulau Sakeng, in the Pasir Panjang Constituency."
"3","asked Minister for National Development what steps are being taken to improve the flow of traffic, especially during the peak hours, along Ayer Rajah Road between ClementI Road and Giliman Circus."
"4","Mr Speaker, Sir, I wish to offer my congratulations to the Hon. Minister for Trade and Industry for once again presenting what has been generally,acknowledged as a ""very reasonable and cautious budget with something for everyone"". Although it is difficult to please everyone, the Budget appears to have achieved the impossible. In the preparation of the Budget, the Minister has taken into consideration the prevailing turbulent world economic conditions and, rightly so, decided not to ""rock the boat"" any more by levying new taxes or raising the rates of existing taxes. Mr Speaker, Sir, it is gratifying to note that productivity, in the past year, increased by 5.4% as a result of the business enterprises taking a judicious view of the potential of our economic restructuring and consequently investing in mechanization and automation. This was complemented by the efforts of union leaders and workers. Our disciplined workforce led by able, positive-thinking union leaders, has always been one that responds to the nation's call for survival and progress. The exhortations and call for improved productivity, better work attitudes and better people-management have been successful largely through the Government's efforts and Labour's cooperation. With economic restructuring, the enhancement of the quality of the workforce becomes essential. Economic restructuring is often equated with the adoption of higher technology and modern methods of production. However, for mechanization, automation or computerization to be effective, our workers must adapt to the new work environment. They will have to be trained or retrained to man the new and sophisticated machinery and software. Our workers must become more competent in their jobs, if we are to succeed in meeting the challenges from a competitive world. lb this respect, I am glad to note that great efforts have been made by the Government to increase the student population in the technical field, both i-n the vocational institutes and tertiary institutions. /Training of unskilled workers/ In promoting the acquisition of higher technical skills, emphasis has been placed on the skilled workforce to further their levels of attainment. But in our keenness to do this, we must never lose sight of the plight of the unskilled and semi-skilled workers who are at the lower rung of the economic ladder. They form the bulk of the older group of workers; and in the early days of industrialization process, it was they who formed the very backbone of our manpower supply. We cannot ignore them now. These workers have been side-tracked from this race for acquisition of new skills for a variety of reasons, one of which is educational disability. If nothing is done to uplift this body of workers, they are doomed to continue to work in lowpaying, unskilled jobs which could one day even become obsolete with greater technological advances. If these unskilled or semi-skilled workers are not helped to advance to higher level skills, I am afraid they will increasingly constitute a drag on the rest of the society and undermine all the previous socio-economic gains made in Republic of Singapore . It is our duty and responsibility, therefore, to take adequate measures to help them to upgrade their knowledge and skills. Thus, they will become more productive and consequently improve their material well being. I fully support the recommendations made by the hon. Members for West Coast and Geylang Serai on ways and means of upgrading the performance of this category of workers. The NTUC has taken steps to re-educate and retrain these workers through the various education and training courses. I urge the Government to give full support to this good gesture. /Job-hopping/ Mr Speaker, Sir, it was indeed heartening to hear the Hon. Minister state that in the year 1981 there were lesser instances of job-hopping. This goes to prove that the average Singapore worker is maturing fast and has realized the potential advantages of a steady career in a good enterprise. These positive attitudes could be further enhanced if the management or employers take the lead in creating a more conducive industrial environment so that workers could feel that they are part and parcel of the enterprise. Some companies, however, have already taken the lead and formed Quality Control Circles or Work Excellence Committees. the Government and statutory boards have Work Improvement Teams (WITs). All these committees have been formed with the main objective of improving productivity, staff morale and team spirit. However, the success of such committees attaining the desired objectives depends to a large extent on the interest, enthusiasm and encouragement shown by the top management and employers. Employers have the responsibility to ensure that they continue to motivate these committees to succeed by sending the members to appropriate courses organized by the National Productivity Board. Perhaps the Government should encourage more such committees to be formed, and also to step up on the number of NPB courses available. /Housing and Development Board (HDB)/ Mr Speaker, Sir, in the Budget Statement, the Hon. Minister has emphasized that the construction industry is of vital importance to the economy of the country. It is heartening to note in this regard that positive steps are being taken to build more flats in the next two years to meet increasing demands. However, there is still concern about the continuous supply of skilled construction workers, as we still need to employ foreign workers from non-traditional sources. The long-term plan for the establishment of a Special Training School for construction workers is indeed laudable. In the meantime, more young Singaporeans should be encouraged to become construction workers, so that eventually a permanent pool of such a workforce could be set up. Efforts should also be made to enlighten both trainees and parents on the relevant advantages of pursuing a career in the construction industry. They should also be assured that such a career is relatively safe, challenging and rewarding. In this context, I would like to refer to the SAF Boys' School that is run by the Ministry of Defence. In the school, youngsters between the ages of 14 and 16 and who are of average ability not only learn a trade and receive continuation education but are also instilled with a deep sense of loyalty and discipline. The vocational training they receive equips them with sufficient skills in the Technical, Combat and Logistics fields for a fruitful career in SAF. Perhaps a similar scheme could be devised for the training of skilled workers for various categories of jobs in the construction industry. /Pensions/ Mr Speaker, Sir, I am not glorifying the Budget but I feel that one particular concession deserves mentioning. The special recognition accorded to the long-term needs of the pensioners in the lower income group, who are heavily burdened by the high cost of living, is, indeed, timely. Such concern and care has helped much to eradicate the general feeling among pensioners of being neglected and disregarded. It is also praiseworthy that the Hon. Minister has found it fit to increase the tax relief for aged dependants from $750 to $1,000 per aged parent. But with the current inflationary trends, I feel that this increase is still not sufficient. I would like to suggest that the tax relief for the aged parents be raised to $2,000 per aged parent, which sum is equivalent to the relief for the maintenance of handicapped dependants, I feel that the maintenance and care of aged parents is not an easy task to shoulder, especially by workers in the middle or lower income groups. Sir, on this note, I support the Budget Statement by the Hon. Minister for Trade and Industry."
"5","Mr Speaker, Sir, I beg to move, That the sum to be allocated for Head K be reduced by $10 in respect of Subhead KB-01 of the Main Estimates. Sir, it has often been asserted that our reservists form the very backbone of our defence capability. They form the bulk of our trained servicemen. Besides combat readiness for operational duties, an essential factor that enhances the performance of these reservists is the continued esprit de corps among the members. There should also be rapport, understanding, mutual trust, and confidence as well as camaraderie among each reservist unit. These basic tenets of unity are instilled in them during the course of their full-time National Service training. My query now is what further steps are being taken to ensure that this spirit of devotion and dedication is sustained and enhanced while the men are in the Reservist Units. I believe that there should be occasions for this group of devoted servicemen to meet one another not only during in-camp training but also on other informal occasions where besides the reservists themselves, members of their families could also be present. Thus the bond of comradeship can be further strengthened."
"6","I am grateful, Sir, for the assurance given by the Minister of State of Defence and strongly supported by the Minister himself. I am quite confident of the capabilities of our Armed Forces. I beg leave to withdraw my amendment."
"7","Mr Speaker, Sir, I beg to move, That the sum to be allocated for Head K be reduced by $10 in respect of Subhead KB-03 of the Main Estimates. Sir, the Outward Bound School run by the Ministry of Defence is unique in that it is the only institution in Republic of Singapore that provides opportunities for a combination of adventure and leadership training. It is laudable that Mindef is also providing this rare service to the Ministry of Education and civic organizations, for I believe that the school is a good place for character building for our youths. All these, of course, entail manpower - skilled and experienced. My concern is about such trained personnel in the School. Do we have sufficient trained instructors in the School and, if so, what are the opportunities available for these instructors, who conduct courses throughout the year, not only to upgrade their skills but also to introduce new activities? Are there any plans to improve the existing facilities and to expand the school?"
"8","Sir, I would like to get clarification again on the opportunities available for the instructors to upgrade their performance and the possibility of introducing new activities."
"9","Sir, a further clarification. Am I to understand that the courses for the instructors are available locally or overseas?"
"10","I am grateful to the Minister of State of Defence for the answers given, and I would like to withdraw my amendment."
