"","speech"
"1","Mr Deputy Speaker, Sir, I would like to support the Bill. This Bill when passed will enable any person who has sufficient CPF savings of his own to participate in the topping-up scheme to ensure financial independence of his parents after the age of 60. The participation in such a noble scheme would foster greater filial piety and a sense of responsibility for children to support their aged parents. I would like two clarifications from the Hon. Minister on clause 5 of the Bill. (1) Since the transfers could be made either through CPF accounts or with cash, I would urge that these contributions be tax exempted. (2) Whether this topping-up scheme could be further extended to adopted children and siblings of the aged persons. May I also suggest that the CPF Board take appropriate steps to inform or to explain to the CPF contributors that this is a voluntary scheme to enable contributors to help their aged parents and not a legislation to compel or force contributors to pay from their CPF accounts. Sir, I would like to support the Bill."
"2","Mr Speaker, Sir, I wish to join my fellow PAP MPs in congratulating the Hon. Minister for Finance for presenting a budget which has been well received by all parties except smokers, drinkers and those who frequent betting places. The primary objective of the Government is to revive and improve further the economy of the nation as well as raise the living standards of all segments of the society. We all know that the economic recession a year or two ago has affected both workers and employers, businessmen and entrepreneurs. The recession which has affected not only our nation but also countries with natural resources has awakened us with the realization that the affluence that we have uninterruptedly enjoyed for many years has suddenly ground to a halt. By adopting swift and pragmatic measures and implementing strategies and tactics that have the wholehearted support of the workers, employers and businessmen, we have managed to weather the adverse economic situation and braced ourselves for the sacrifices ahead in the form of CPF reduction and wage restraint. All these have helped us towards the nation's economic recovery. The basic policy adopted was to apply cost-cutting measures, consolidating our competitiveness in the world market and taking steps to attract and convince investors to come and invest here which would at the same time create job opportunities for our people. One of the main reasons for our progress and success is the close cooperation and understanding that exists between unions, employers and government. Not all countries can boast of this achievement. The confidence demonstrated by workers, besides hard work and willingness to learn new skills, has also been an important factor in attracting inter- national companies to invest in our country. When the economy is on the upswing, our workers enjoy the benefits and in times of recession, they understand the situation prevailing and make the necessary sacrifices in order to help the economy recover. In this connection, employers should constantly provide the motivation to their employees to further enhance their knowledge and skills. The budgets for the last financial year and for the current year also provided many incentives to employers in order that they could succeed and it is hoped that employers can seriously motivate their workers. It is the responsibility of employers to make commensurate contributions to the workers for the sacrifices which they had made. On the other hand, workers should take advantage of the Skills Development Fund which was set up to train and upgrade their knowledge and skills. This could be achieved by attending classes and courses on skills organized by vocational institutes like the VITB. Workers should not remain passive. They must seriously show their keenness to upgrade their capabilities. I believe that in the long term, this will further upgrade the nation's economic status consonant with the new economic programmes for the country. We are fortunate because a good industrial relations climate prevails. It is hoped that employers will take the initiative to further foster the understanding with their employees in order that they will strive harder and be more loyal to their companies where they work. I am aware that there are companies, particularly House Unions which have already provided facilities for the welfare of their workers. Speaking on the subject of company welfarism, we find that there are still many employers who have not as yet fully grasped the concept of company welfarism. In Japan especially, the company welfarism system does not end by providing workers with recreational facilities and generous wages. In fact, it is extended to look after the welfare of the members of the family and the education of the children of the workers. I hope the Government will look into the suggestion to encourage many more companies to implement company welfarism. It is even better if government agencies themselves can pave the way towards this end and emulated by other companies. It is natural and easy to criticize or condemn a suggestion. But to do something for the benefit of the public at large and in the interest of the nation is not easy. Only those who shoulder responsibilities can feel the brunt of their tasks. I feel somewhat disappointed with the Member for Potong Pasir who advanced some strong arguments but the end result was that he had nothing to offer on how we could together revive our economy. Unfortunately he is not in the Chambers now, so I better get on with my speech. Mr Speaker, Sir, one obvious matter that has been given great emphasis in the Budget by the Government is the new policy concerning procreation. Many incentives have been offered in order to encourage married couples who can afford it to have three children or more. I wish to refer to the article in the Berita Harian issue of 6 March 1987 captioned ""Family Budget"" and I quote: 'Certainly, the tax deduction incentive of $20,000 over a five year period and other incentives will make married couples who previously were reluctant to have three children have second thoughts on the matter. Although those who fall within this group will enjoy the incentive, yet a closer examination reveals that it is targetted at the higher income group. Statistics show that it is this particular group of people who, in the main, are unwilling to have children for reasons either that they are preoccupied with their career or that they prefer a way of life free from the encumbrances of children. The question of affordability which is the determinant factor governing the new policy of procreation must be recognized by all. Yet, the capability to raise three children or more is not measured by a high income although the couple can afford the services of a maid servant. Can the parents have the time to give their fullest attention and love to their children? The upbringing of children nowadays differs vastly from that of yesteryear. Social problems may arise if parental control is lacking. On the other hand, for parents of low income who wish to have many children, they must first consider thoroughly the cost aspect. Be that as it may, the decision to have more children rests solely with parents. The incentive offered is just the beginning. In the long term, it is the parents who will bear the cost of upbringing their children. It is well that we must appreciate our capabilities before deciding on whether or not to enlarge the family.' Finally, I wish to support the motion thanking the Hon. Minister for Finance for presenting the Budget for FY 1987 for a happier, healthier and a brighter future."
"3","Sir, I beg to move, That the sum to be allocated for Head K be reduced by $10 in respect of Subhead KA-02 of the Main Estimates. Sir, I would like to clarify certain positions envisaged by many Members here and I have to declare my interest. I am a Commanding Officer of the Reservist Unit and have served in the Armed Forces for more than 22 years. I have served in the colonial days. I have served during confrontation and I am still serving the Armed Forces now."
"4","As soldiers, we must be prepared for any eventuality and I take very strong exception to the remarks made by the Member for Potong Pasir in that this type of debate may incite the emotional feelings of our Singaporeans. The less we say, the better. But there are approaches that we can -"
"5","Yes."
"6","Sir, allow me to speak freely without any interruption so that we can get a clear picture."
"7","I take strong exception to what he said that the Malay MPs are doing nothing. They should speak up now."
"8","For the information of Members of the House, the Malay MPs have been continuously discussing with the young leaders of the Government on how best we can work together towards this. The only mistake the Malay MPs have done is that they did not publicize what they have done. I think that is the greatest mistake and I would suggest that most probably this should be done in the open and we explain to our society what we have done so far."
"9","Yes, long before the Member for Potong Pasir came into this House."
"10","Well, let results speak for themselves."
