"","speech"
"1","asked Minister for National Development if he will ask the Housing and Development Board to allow single persons to continue to rent or own HDB flats when the nucleus family no longer exists because of the death of the only other person forming the family nucleus."
"2","Sir, I beg to move, That the sum to be allocated for Head L be reduced by $10 in respect of Subhead LB-01 of the Main Estimates. Sir, I would like to dwell a little on the teaching of Islamic Religious Knowledge in our secondary schools. I am glad that this subject has been revived after a lapse of a good number of years. One of the effective combatants of moral degradation of society, Sir, is religion. Religion not only enhances spiritual well-being but it also uplifts the moral behaviour of men, In this respect, I wish to congratulate the Ministry of Education on its vision and timely action to introduce religious and ethical studies in our schools. As regards Islamic Religious Knowledge, Sir, I would like to know how the teachers are selected and if any form of training is provided to instruct in the subject. For I believe that a good religious education teacher must first be convinced himself of the importance of his task before he could hope to convince his students. It is the right person, the person with the right attitude and thinking who can impart moral, religious or ethical values to the youngsters. He must be someone who can generate the right values- for the students to emulate in the most impressionable years of their life. Along with the recruitment and training of teachers, Sir, I would like to know if adequate and up-to-date instructional materials on Islamic Religious Knowledge are readily available. And with the teaching of the subject having had a run-through over the last few months, what steps are being taken to monitor the progress from both the teaching and learning angles? Finally, on the same topic, $ir, I understand that the subject is now being taught in the second language, i.e. ML2. This is well and good. But I am rather concerned about Muslim students who do not study Malay as a second language. I would like to know if arrangements are made to teach Islamic Religious Knowledge in English for such students. I would be happy to hear the comments of the Minister of Education on the above queries."
"3","Sir, can the Minister of State enlighten us whether there is any long-term plan for the training of such teachers to teach this particular subject? He mentioned just now that most of them are Malay school teachers. But I am more concerned about the ability of these teachers to follow the instructions and to impart their knowledge. My question is whether a long-term plan on the training of proper teachers for this subject could be looked into."
"4","Sir, I am happy with the explanation of the Minister and I beg leave to withdraw my amendment."
"5","Sir, I beg to move, That the sum to be allocated for Head L be reduced by $10 in respect of Subhead LB-03 of the Main Estimates. Sir, I would like to comment on the GCE 'O' level mid-year examinations, Malay as a second language paper. It appears that the papers were of a much higher standard than the TL2 or CL2 papers. Some of the contents of the papers were said to be even more difficult than the English language paper (ELl). Although the Ministry of Education in its reply to a newspaper reader's letter maintained that the papers were of normal standard, the fact that the contents of the question papers provoked much public outrage cannot be overlooked. I believe, Sir, that the papers are set by a panel of experts which in turn are moderated by a specialist. With such a foolproof system, it is hard to envisage that such a situation was allowed to prevail. A situation like this, Sir, spells grave consequences for the candidates especially for those who are vying to secure places in junior colleges or pre-university centres. Moreover, I have come to understand that candidates who score a certain range of grades in the mid-year examinations are not allowed to appear for the second language in the final examinations. May I get clarification from the Minister on this matter?"
"6","Sir, in view of the assurance given by the Minister of State, I beg leave to withdraw my amendment."
"7","Sir, I beg to move, That the sum to be allocated for Head L be reduced by $10 in respect of Subhead LD-01 of the Main Emimates. Sir, I would like to touch on the proposed Physical Education College even though this matter has been raised earlier by the Member for Serangoon Gardens. Since my last query, work has been done to make the said college a true and real entity. I wish to compliment the Ministry of Education on its prudence and initiative. A college of this type is vital for the physical well-being of our citizenry and is an essential attribute in this productivity conscious world of ours. However, the question of professionally qualified PE teachers strikes a grave note at the moment, for I gather that there are about 700 vacancies for such personnel. Contrary to this situation, it has been announced that at each intake, the College would only be able to train about 50 trainees. Now, Sir, I am rather concerned as to how this rate of training can rectify the rather lopsided PE teacher situation in our schools. If we are going to depend entirely on the PE College, it will definitely take a long time before all the vacancies can be filled with Loughborough-type trained PE teachers. As an interim measure, Sir, I would like to know if there are any plans to upgrade the present lot of PE teachers through refresher courses or in-service courses, something as an expedient and not as sophisticated as a Diploma course. Further, Sir, I understand that the Diploma course at the College would concern itself more with secondary school levels. I feel that a sound PE programme should start at the very basic stage, that is, at the primary school level. Concerning the recruitment of staff for the proposed College, I believe that a good proportion of the lecturers should come from our existing corps of Loughboroughtrained or other foreign trained graduates. These experts, with their intimate knowledge of the local situation, would constitute a great asset both in the planning of the curriculum and training of our students. With our system of national service and citizen army, it is imperative that the standard of physical education be enhanced more in keeping with changing trends in the social and economic spheres of activities in our Republic. I would be grateful, Sir, if the Minister of State for Education could enlighten me more on this matter."
"8","Sir, I need further clarification about my suggestion that an interim measure of retraining some of the PE teachers now in school to upgrade their standard or qualifications."
"9","Sir, I would like further clarification on this. On the staffing of this College, I mentioned whether local staff could also be trained to assist in this because of their intimate knowledge of our students here. Sir, could I have clarification on this also?"
"10","I refer mostly to our Loughborough-trained locals who have the experience. However, Sir, in view of the explanation given by the Minister of State, I am quite pleased with his answer and I beg leave to withdraw my amendment."
"11","Sir, I want to compliment the VITB for having done an excellent job in organizing the BEST classes in concert with other agencies, such as the NTUC and the Peoples Action Party branches. I gather that many of those without basic education have benefitted immensely. I would like some indication of the progress of these courses so far. Since those who have successfully completed the course are deemed to have attained the basic literary ability, I would like to know what sort of skilled courses are available for such workers to upgrade themselves? If there are already such courses in existence, how many have benefitted from them? Furthermore, Sir, we know that there is still a sizable number of such workers who have not participated in the BEST class programme for one reason or another. As it is, this type of workers who are likely to be at a great disadvantage in the future with developments in technology, computer science and robotics, what steps are being taken to encourage them to come forward and benefit by this programme? I will be grateful, Sir, for information on these queries from the Minister of State of Education."
